Besuch am,Uhrzeit,Ort,Strasse,PLZ,Distanz_km
01.02.2024,09:00:00,Waldblick,L 76,15831,0.000
01.02.2024,09:00:00,Waldblick,Trebbiner Straße,15831,0.550
01.02.2024,09:00:00,Waldblick,Maxim-Gorki-Straße,15831,0.124
01.02.2024,09:00:00,Waldblick,Trebbiner Straße,15831,0.145
01.02.2024,09:00:00,Waldblick,Berliner Straße,15831,0.503
01.02.2024,09:55:52,Waldblick,Luisenstraße,15831,0.428
01.02.2024,11:00:00,Waldblick,Trebbiner Straße,15831,0.554
01.02.2024,11:00:00,Waldblick,L 76,15831,0.232
01.05.2024,12:00:00,Waldblick,L 76,15831,0.186
01.05.2024,12:00:00,Waldblick,Berliner Straße,15831,0.237
01.05.2024,12:00:00,Waldblick,Ulmenhof,15831,0.082
01.05.2024,12:00:00,Waldblick,Kastanienhof,15831,0.343
01.05.2024,12:00:00,Waldblick,Kirschenhof,15831,0.396
01.05.2024,12:18:00,Waldblick,Kirschenhof,15831,0.048
01.05.2024,14:00:00,Waldblick,Berliner Straße,15831,0.068
01.05.2024,14:00:00,Waldblick,Trebbiner Straße,15831,0.229
01.05.2024,14:36:58,Waldblick,Trebbiner Straße,15831,0.101
01.11.2024,12:24:24,Waldblick,Kirschenhof,15831,0.109
01.11.2024,13:00:00,Waldblick,L 76,15831,0.244
01.11.2024,13:00:00,Waldblick,Kirschenhof,15831,0.192
01.11.2024,13:00:00,Waldblick,Berliner Straße,15831,0.100
01.11.2024,13:00:00,Waldblick,Trebbiner Straße,15831,0.255
01.11.2024,13:00:00,Waldblick,Luisenstraße,15831,0.145
01.11.2024,13:00:00,Waldblick,Trebbiner Straße,15831,0.130
01.11.2024,13:00:00,Waldblick,L 76,15831,0.702
01.11.2024,13:41:50,Waldblick,Berliner Straße,15831,0.269
02.09.2024,07:42:46,Waldblick,Luisenstraße,15831,0.421
02.09.2024,08:00:00,Waldblick,L 76,15831,0.603
02.09.2024,08:00:00,Waldblick,Trebbiner Straße,15831,0.562
02.09.2024,08:00:00,Waldblick,Luisenstraße,15831,0.125
02.09.2024,08:00:00,Waldblick,Trebbiner Straße,15831,0.358
02.09.2024,08:00:00,Waldblick,Kastanienhof,15831,0.197
02.09.2024,08:45:02,Waldblick,Trebbiner Straße,15831,0.533
02.09.2024,12:00:00,Waldblick,Marillenhof,15831,0.456
02.09.2024,12:00:00,Waldblick,Trebbiner Straße,15831,0.226
04.03.2024,11:00:00,Waldblick,Ulmenhof,15831,0.171
04.03.2024,15:00:00,Waldblick,Kirschenhof,15831,0.084
04.03.2024,15:00:00,Waldblick,Marktplatz,15831,0.230
04.03.2024,15:00:00,Waldblick,Marktplatz,15831,0.055
04.03.2024,15:00:00,Mahlow,Ibsenstraße,15831,1.234
04.03.2024,15:00:00,Mahlow,Am Lückefeld,15831,0.872
04.03.2024,15:00:00,Mahlow,Am Lückefeld,15831,0.015
04.03.2024,15:00:00,Mahlow,Am Lückefeld,15831,0.037
04.03.2024,15:00:00,Glasow,Krügers Land,15831,0.468
04.03.2024,15:00:00,Mahlow,Virchowstraße,15831,0.878
04.03.2024,15:00:00,Waldblick,Maxim-Gorki-Straße,15831,0.411
04.03.2024,15:00:00,Waldblick,Marktplatz,15831,0.607
04.03.2024,15:56:46,Waldblick,Ulmenhof,15831,0.202
04.03.2024,16:48:01,Waldblick,Kirschenhof,15831,0.093
04.03.2024,17:00:00,Waldblick,Ulmenhof,15831,0.067
04.03.2024,17:00:00,Waldblick,Kirschenhof,15831,0.071
04.03.2024,17:00:00,Waldblick,Kirschenhof,15831,0.022
04.05.2024,14:00:00,Waldblick,L 76,15831,0.155
04.05.2024,14:00:00,Waldblick,Kirschenhof,15831,0.229
04.05.2024,14:50:05,Waldblick,Berliner Straße,15831,0.054
04.05.2024,16:00:00,Waldblick,Berliner Straße,15831,0.041
04.05.2024,16:00:00,Waldblick,L 76,15831,0.303
04.05.2024,16:00:00,Mahlow,B 96,15831,1.393
04.05.2024,16:00:00,Glasow,B 96,15831,0.323
04.05.2024,16:00:00,Mahlow,Am Lückefeld,15831,0.264
04.05.2024,16:00:00,Großziethen,B 96,15831,0.348
05.02.2024,12:20:50,Mahlow,Am Lückefeld,15831,0.453
05.02.2024,13:00:00,Mahlow,Neue Straße,15831,0.651
05.02.2024,13:00:00,Mahlow,Am Lückefeld,15831,0.634
05.02.2024,13:00:00,Mahlow,Birkenstraße,15831,0.752
05.02.2024,13:00:00,Waldblick,Ulmenhof,15831,1.230
05.02.2024,13:00:00,Waldblick,Marktplatz,15831,0.196
05.02.2024,13:00:00,Waldblick,Kirschenhof,15831,0.258
05.02.2024,13:19:13,Mahlow,Am Lückefeld,15831,1.884
05.02.2024,15:00:00,Waldblick,Ulmenhof,15831,1.936
05.02.2024,15:00:00,Waldblick,Luisenstraße,15831,0.444
05.02.2024,17:00:00,Waldblick,Luisenstraße,15831,0.101
05.02.2024,17:00:00,Waldblick,Kirschenhof,15831,0.483
05.02.2024,19:00:00,Waldblick,Kirschenhof,15831,0.010
05.02.2024,19:00:00,Waldblick,Ulmenhof,15831,0.058
05.11.2024,08:59:48,Waldblick,Berliner Straße,15831,0.128
