Datum,Gesamtdistanz_km
01.02.2024,2.536
01.05.2024,1.505
01.11.2024,2.037
02.09.2024,3.062
04.03.2024,5.346
04.05.2024,2.956
05.02.2024,8.639
05.11.2024,4.584
07.02.2024,12.411
07.06.2024,1.920
07.08.2024,1.748
08.02.2024,3.533
08.08.2024,17.412
09.08.2024,7.337
10.02.2024,9.464
10.03.2024,0.636
11.02.2024,0.507
11.03.2024,1.111
12.02.2024,19.083
14.04.2024,1.758
14.09.2024,0.709
14.11.2024,4.824
15.01.2024,0.878
15.02.2024,0.764
16.03.2024,3.719
20.01.2024,1.795
20.02.2024,8.544
21.02.2024,1.433
21.04.2024,2.746
21.06.2024,12.623
23.04.2024,0.867
23.09.2024,0.750
24.01.2024,0.578
25.02.2024,2.652
25.06.2024,3.069
26.01.2024,2.525
26.04.2024,5.452
26.06.2024,6.117
28.01.2024,2.599
28.05.2024,1.349
28.06.2024,9.335
29.01.2024,3.468
30.01.2024,0.728
30.09.2024,13.816
