Datum,Uhrzeit,Lat,Lon,Adresse,Abschnitt_km,Kumuliert_km,Grund
2024-01-15,13:00:00,52.522234,13.428434,"Platz der Vereinten Nationen, 10249 Berlin",0.000,0.000,Blankenfelde-Mahlow
2024-01-15,13:00:00,52.516782,13.426561,,0.619,0.619,Blankenfelde-Mahlow
2024-01-15,13:00:00,52.515241,13.429852,,0.281,0.900,Blankenfelde-Mahlow
2024-01-15,13:11:26,52.516516,13.426660,,0.258,1.159,Blankenfelde-Mahlow
2024-01-15,13:11:26,52.522163,13.428597,,0.641,1.800,Blankenfelde-Mahlow
2024-01-15,13:19:22,52.516782,13.426561,,0.614,2.414,Blankenfelde-Mahlow
2024-01-15,17:00:00,52.515711,13.422826,"Singerstraße, 10179 Berlin",0.279,2.694,Blankenfelde-Mahlow
2024-01-15,17:00:00,52.516787,13.426613,,0.283,2.976,Blankenfelde-Mahlow
2024-01-15,17:00:00,52.485028,13.386065,,4.473,7.449,Blankenfelde-Mahlow
2024-01-15,18:33:35,52.516844,13.426134,"Lichtenberger Straße, 10179 Berlin",4.458,11.907,Blankenfelde-Mahlow
2024-01-15,18:33:35,52.366073,13.411729,,16.793,28.700,Blankenfelde-Mahlow
2024-01-15,19:00:00,52.449176,13.384871,,9.419,38.119,Blankenfelde-Mahlow
2024-01-15,19:00:00,52.407943,13.404751,,4.779,42.898,Blankenfelde-Mahlow
2024-01-15,19:00:00,52.368327,13.407045,,4.408,47.306,Blankenfelde-Mahlow
2024-01-15,19:00:00,52.366073,13.411729,,0.405,47.711,Blankenfelde-Mahlow
2024-01-15,19:00:00,52.368327,13.407045,,0.405,48.116,Blankenfelde-Mahlow
2024-01-15,19:00:00,52.368358,13.424401,,1.178,49.294,Blankenfelde-Mahlow
2024-01-15,19:00:00,52.410516,13.403574,,4.896,54.190,Blankenfelde-Mahlow
2024-01-15,19:00:00,52.443337,13.386225,,3.834,58.025,Blankenfelde-Mahlow
2024-01-15,19:00:00,52.468010,13.385699,,2.744,60.768,Blankenfelde-Mahlow
2024-01-15,19:00:00,52.498112,13.389959,,3.360,64.128,Blankenfelde-Mahlow
2024-01-15,19:00:00,52.498308,13.406309,,1.107,65.235,Blankenfelde-Mahlow
2024-01-15,19:00:00,52.514743,13.421010,,2.081,67.316,Blankenfelde-Mahlow
2024-01-15,19:00:00,52.516866,13.425871,,0.405,67.721,Blankenfelde-Mahlow
2024-01-15,19:00:00,52.515711,13.422826,,0.243,67.963,Blankenfelde-Mahlow
2024-01-15,19:19:07,52.365961,13.411921,,16.668,84.631,Blankenfelde-Mahlow
2024-01-15,20:06:41,52.516866,13.425871,"Lichtenberger Straße, 10179 Berlin",16.806,101.438,Blankenfelde-Mahlow
2024-01-15,20:46:13,52.516835,13.426471,"Lichtenberger Straße, 10179 Berlin",0.041,101.478,Blankenfelde-Mahlow
2024-01-18,07:00:00,50.109214,8.663681,"Karlstraße, 60329 Frankfurt am Main",0.000,0.000,Leipzig Geschäftsbereich
2024-01-18,07:00:00,50.107161,8.663767,,0.228,0.228,Leipzig Geschäftsbereich
2024-01-18,07:00:00,50.105047,8.661021,,0.306,0.534,Leipzig Geschäftsbereich
2024-01-18,07:00:00,50.106413,8.663446,,0.230,0.764,Leipzig Geschäftsbereich
2024-01-18,07:00:00,50.098992,8.685636,,1.785,2.549,Leipzig Geschäftsbereich
2024-01-18,07:00:00,50.103831,8.792828,,7.664,10.214,Leipzig Geschäftsbereich
2024-01-18,07:00:00,50.121305,8.852317,,4.666,14.879,Leipzig Geschäftsbereich
2024-01-18,07:00:00,50.121351,8.948407,,6.851,21.730,Leipzig Geschäftsbereich
2024-01-18,07:00:00,50.288221,9.376855,,35.694,57.424,Leipzig Geschäftsbereich
2024-01-18,08:06:12,50.109214,8.663681,,54.526,111.950,Leipzig Geschäftsbereich
2024-01-18,08:06:12,50.107161,8.663767,,0.228,112.178,Leipzig Geschäftsbereich
2024-01-18,08:21:03,52.526167,13.368981,,423.269,535.447,Leipzig Geschäftsbereich
2024-01-18,09:00:00,50.978935,10.325313,,271.060,806.508,Leipzig Geschäftsbereich
2024-01-18,09:00:00,50.976083,10.327755,,0.360,806.868,Leipzig Geschäftsbereich
2024-01-18,09:00:00,50.949533,10.991738,,46.594,853.462,Leipzig Geschäftsbereich
2024-01-18,09:00:00,50.969917,11.030417,,3.532,856.995,Leipzig Geschäftsbereich
2024-01-18,09:00:00,50.971725,11.039119,,0.642,857.636,Leipzig Geschäftsbereich
2024-01-18,11:00:00,51.418509,12.189831,"A 9, 04435 Schkeuditz",94.326,951.962,Leipzig Geschäftsbereich
2024-01-18,11:00:00,51.407828,12.375168,,12.908,964.870,Leipzig Geschäftsbereich
2024-01-18,11:00:00,51.360808,12.397657,,5.456,970.327,Leipzig Geschäftsbereich
2024-01-18,11:00:00,51.350589,12.384328,,1.466,971.792,Leipzig Geschäftsbereich
2024-01-18,11:00:00,51.357092,12.395064,,1.039,972.831,Leipzig Geschäftsbereich
2024-01-18,11:00:00,51.590633,12.274248,,27.283,1000.114,Leipzig Geschäftsbereich
2024-01-18,11:00:00,51.725433,12.452165,,19.372,1019.487,Leipzig Geschäftsbereich
2024-01-18,11:00:00,52.253996,13.235383,,79.564,1099.050,Leipzig Geschäftsbereich
2024-01-18,11:00:00,52.404644,13.300179,,17.320,1116.371,Leipzig Geschäftsbereich
2024-01-18,11:00:00,52.455279,13.358253,,6.870,1123.241,Leipzig Geschäftsbereich
2024-01-18,11:00:00,52.524647,13.369865,,7.753,1130.995,Leipzig Geschäftsbereich
2024-01-18,11:00:00,52.522290,13.365608,,0.389,1131.384,Leipzig Geschäftsbereich
2024-01-18,11:00:00,52.525852,13.369700,,0.483,1131.867,Leipzig Geschäftsbereich
2024-01-18,11:00:00,52.519709,13.373123,,0.721,1132.589,Leipzig Geschäftsbereich
2024-01-18,11:00:00,52.516553,13.380536,,0.612,1133.201,Leipzig Geschäftsbereich
2024-01-18,11:00:00,52.518515,13.404374,,1.628,1134.828,Leipzig Geschäftsbereich
2024-01-18,11:00:00,52.522432,13.382119,,1.567,1136.396,Leipzig Geschäftsbereich
2024-01-18,12:43:14,52.525084,13.369402,"Emma-Herwegh-Straße, 10557 Berlin",0.910,1137.305,Leipzig Geschäftsbereich
2024-01-18,12:49:00,52.516740,13.426574,,3.978,1141.283,Leipzig Geschäftsbereich
2024-01-18,17:00:00,52.515711,13.422826,"Singerstraße, 10179 Berlin",0.278,1141.561,Leipzig Geschäftsbereich
2024-01-20,09:00:00,52.516768,13.426608,"Lichtenberger Straße, 10179 Berlin",0.000,0.000,Blankenfelde-Mahlow
2024-01-20,09:00:00,52.498483,13.406537,,2.445,2.445,Blankenfelde-Mahlow
2024-01-20,09:00:00,52.482523,13.385777,,2.264,4.709,Blankenfelde-Mahlow
2024-01-20,09:00:00,52.459044,13.384391,,2.612,7.322,Blankenfelde-Mahlow
2024-01-20,09:00:00,52.435883,13.389004,,2.594,9.916,Blankenfelde-Mahlow
2024-01-20,09:50:02,52.516768,13.426608,,9.348,19.263,Blankenfelde-Mahlow
2024-01-20,09:50:02,52.365988,13.411987,,16.795,36.059,Blankenfelde-Mahlow
2024-01-20,13:00:00,52.361525,13.419455,"Virchowstraße, 15831 Mahlow",0.710,36.768,Blankenfelde-Mahlow
2024-01-20,13:00:00,52.358102,13.432293,,0.951,37.719,Blankenfelde-Mahlow
2024-01-20,13:00:00,52.406674,13.405687,,5.695,43.414,Blankenfelde-Mahlow
2024-01-20,13:00:00,52.439596,13.387934,,3.854,47.268,Blankenfelde-Mahlow
2024-01-20,13:00:00,52.464086,13.385587,,2.728,49.996,Blankenfelde-Mahlow
2024-01-20,13:00:00,52.509275,13.262410,,9.737,59.733,Blankenfelde-Mahlow
2024-01-20,13:38:08,52.366733,13.412233,,18.825,78.557,Blankenfelde-Mahlow
2024-01-20,13:38:08,52.509275,13.262410,,18.825,97.382,Blankenfelde-Mahlow
2024-01-20,15:00:00,52.490829,13.296558,,3.090,100.472,Blankenfelde-Mahlow
2024-01-20,15:00:00,52.488887,13.300391,,0.338,100.810,Blankenfelde-Mahlow
2024-01-20,15:00:00,52.494622,13.313770,,1.108,101.918,Blankenfelde-Mahlow
2024-01-20,15:00:00,52.485261,13.327767,,1.408,103.325,Blankenfelde-Mahlow
2024-01-20,16:01:33,52.509338,13.262334,,5.176,108.501,Blankenfelde-Mahlow
2024-01-20,16:01:33,52.485262,13.327765,,5.176,113.677,Blankenfelde-Mahlow
2024-01-20,21:00:00,52.484775,13.331717,"Bundesallee, 10715 Berlin",0.273,113.950,Blankenfelde-Mahlow
2024-01-20,21:00:00,52.485192,13.327413,,0.295,114.245,Blankenfelde-Mahlow
2024-01-20,22:53:36,52.515973,13.425772,"Singerstraße, 10179 Berlin",7.486,121.731,Blankenfelde-Mahlow
2024-01-20,23:00:00,52.485129,13.385091,,4.398,126.129,Blankenfelde-Mahlow
2024-01-20,23:00:00,52.515973,13.425772,,4.398,130.528,Blankenfelde-Mahlow
2024-01-20,23:22:13,52.516835,13.426471,"Lichtenberger Straße, 10179 Berlin",0.107,130.635,Blankenfelde-Mahlow
2024-01-24,17:00:00,52.516384,13.425719,"Lichtenberger Straße, 10179 Berlin",0.000,0.000,Blankenfelde-Mahlow
2024-01-24,17:00:00,52.513730,13.424244,,0.311,0.311,Blankenfelde-Mahlow
2024-01-24,17:00:00,52.515054,13.419655,,0.344,0.655,Blankenfelde-Mahlow
